"","year","CO2","CH4","NO2","SGG"
"1",1857,285.39818,0.79182,0.27098,3.7e-05
"2",1858,285.3673,0.7927,0.27114,3.7e-05
"3",1859,285.35597,0.79403,0.27131,3.7e-05
"4",1860,285.34424,0.79576,0.27149,3.7e-05
"5",1861,285.3222,0.7978,0.27166,3.7e-05
"6",1862,285.29989,0.80011,0.27184,3.7e-05
"7",1863,285.28739,0.80261,0.27201,3.7e-05
"8",1864,285.32479,0.80521,0.27219,3.7e-05
"9",1865,285.46231,0.80769,0.27237,3.7e-05
"10",1866,285.67013,0.80987,0.27255,3.7e-05
"11",1867,285.95819,0.81181,0.27274,3.7e-05
"12",1868,286.29636,0.81364,0.27294,3.7e-05
"13",1869,286.67451,0.81549,0.27315,3.7e-05
"14",1870,287.08252,0.81748,0.27338,3.7e-05
"15",1871,287.52029,0.81971,0.27362,3.7e-05
"16",1872,287.92795,0.82205,0.27387,3.7e-05
"17",1873,288.28563,0.82437,0.27412,3.7e-05
"18",1874,288.54341,0.82659,0.27439,3.7e-05
"19",1875,288.6714,0.8286,0.27465,3.7e-05
"20",1876,288.71966,0.83034,0.27492,3.7e-05
"21",1877,288.7181,0.8319,0.27518,3.7e-05
"22",1878,288.73662,0.83338,0.27544,3.7e-05
"23",1879,288.80508,0.83492,0.27569,3.7e-05
"24",1880,288.9234,0.8366,0.27593,3.7e-05
"25",1881,289.0916,0.8384,0.27616,3.7e-05
"26",1882,289.2797,0.8403,0.27639,3.7e-05
"27",1883,289.47777,0.84223,0.2766,3.8e-05
"28",1884,289.70582,0.84418,0.27681,3.8e-05
"29",1885,290.04397,0.84603,0.27701,3.8e-05
"30",1886,290.47249,0.84751,0.27719,3.8e-05
"31",1887,290.91138,0.84862,0.27734,3.8e-05
"32",1888,291.30036,0.84964,0.27747,3.8e-05
"33",1889,291.70923,0.85077,0.27756,3.8e-05
"34",1890,292.17799,0.85201,0.27763,3.8e-05
"35",1891,292.70671,0.85329,0.27767,3.8e-05
"36",1892,293.23525,0.85475,0.2777,3.8e-05
"37",1893,293.74344,0.85656,0.27771,3.8e-05
"38",1894,294.22121,0.85879,0.27771,3.8e-05
"39",1895,294.6688,0.8612,0.27769,3.8e-05
"40",1896,294.99639,0.86361,0.27768,3.8e-05
"41",1897,295.14381,0.86619,0.27768,3.8e-05
"42",1898,295.17092,0.86908,0.27771,3.8e-05
"43",1899,295.17776,0.87224,0.27777,3.8e-05
"44",1900,295.22442,0.87558,0.27788,3.8e-05
"45",1901,295.34096,0.87904,0.27805,3.8e-05
"46",1902,295.51724,0.88276,0.27826,3.8e-05
"47",1903,295.76313,0.88687,0.27851,3.7e-05
"48",1904,296.10861,0.89139,0.27879,3.7e-05
"49",1905,296.54368,0.89632,0.2791,3.7e-05
"50",1906,296.97836,0.90164,0.27942,3.7e-05
"51",1907,297.41268,0.90732,0.27976,3.7e-05
"52",1908,297.81673,0.91327,0.28011,3.7e-05
"53",1909,298.14108,0.91892,0.28046,3.7e-05
"54",1910,298.38639,0.92361,0.28083,3.7e-05
"55",1911,298.6131,0.9269,0.28119,3.7e-05
"56",1912,298.89074,0.92926,0.28156,3.7e-05
"57",1913,299.23863,0.93137,0.28193,3.7e-05
"58",1914,299.65615,0.93385,0.28229,3.7e-05
"59",1915,300.1228,0.9372,0.28263,3.8e-05
"60",1916,300.62821,0.94179,0.28296,3.8e-05
"61",1917,301.16242,0.94758,0.28326,3.8e-05
"62",1918,301.65564,0.95436,0.28353,3.8e-05
"63",1919,302.08834,0.96166,0.28376,3.9e-05
"64",1920,302.42103,0.96897,0.28394,3.9e-05
"65",1921,302.68409,0.97591,0.28409,4e-05
"66",1922,302.90756,0.98244,0.2842,4e-05
"67",1923,303.14146,0.98854,0.28429,4.1e-05
"68",1924,303.3958,0.9942,0.28436,4.1e-05
"69",1925,303.6606,0.9994,0.28443,4.2e-05
"70",1926,303.98577,1.00423,0.28453,4.2e-05
"71",1927,304.36103,1.00897,0.28466,4.3e-05
"72",1928,304.78625,1.01375,0.28483,4.3e-05
"73",1929,305.21135,1.01865,0.28504,4.4e-05
"74",1930,305.58649,1.02351,0.28526,4.5e-05
"75",1931,305.94175,1.02825,0.28551,4.6e-05
"76",1932,306.267,1.033,0.28576,4.6e-05
"77",1933,306.60205,1.03795,0.28602,4.7e-05
"78",1934,306.95673,1.04327,0.28628,4.8e-05
"79",1935,307.32098,1.04902,0.28652,4.9e-05
"80",1936,307.69508,1.05492,0.28674,5e-05
"81",1937,308.08934,1.06066,0.28693,5.2e-05
"82",1938,308.54393,1.06607,0.28712,5.3e-05
"83",1939,309.00888,1.07112,0.2873,5.4e-05
"84",1940,309.41426,1.07574,0.28747,5.7e-05
"85",1941,309.72009,1.07991,0.28761,5.8e-05
"86",1942,309.90641,1.08359,0.2877,6e-05
"87",1943,309.96342,1.08658,0.28776,6.2e-05
"88",1944,309.90091,1.08909,0.28779,6.4e-05
"89",1945,309.77821,1.09179,0.28781,6.6e-05
"90",1946,309.71482,1.09518,0.28784,6.8e-05
"91",1947,309.70059,1.09941,0.2879,7.1e-05
"92",1948,309.76543,1.10457,0.28797,7.3e-05
"93",1949,309.90946,1.11054,0.28808,7.6e-05
"94",1950,310.12273,1.11727,0.28822,7.8e-05
"95",1951,310.35521,1.12479,0.28841,8.1e-05
"96",1952,310.65676,1.13324,0.28865,8.4e-05
"97",1953,311.04739,1.14261,0.28896,8.7e-05
"98",1954,311.59713,1.15287,0.28933,9.1e-05
"99",1955,312.29588,1.16412,0.28975,9.5e-05
"100",1956,312.95389,1.17611,0.29019,1e-04
"101",1957,313.4925,1.1875,0.29062,0.000106
"102",1958,313.97184,1.19816,0.29102,0.000113
"103",1959,314.45102,1.20898,0.29137,0.000121
"104",1960,314.92975,1.22025,0.29169,0.00013
"105",1961,315.43803,1.23197,0.29198,0.000141
"106",1962,315.99587,1.24413,0.29226,0.000153
"107",1963,316.58343,1.25657,0.29254,0.000167
"108",1964,317.18112,1.26888,0.29283,0.000182
"109",1965,317.8191,1.2809,0.29314,2e-04
"110",1966,318.5665,1.2935,0.29349,0.000219
"111",1967,319.45257,1.30743,0.29391,0.00024
"112",1968,320.44687,1.32313,0.29438,0.000264
"113",1969,321.4799,1.3401,0.29493,0.000289
"114",1970,322.53242,1.35758,0.29553,0.000318
"115",1971,323.59504,1.37496,0.29618,0.000349
"116",1972,324.698,1.392,0.29685,0.000382
"117",1973,325.87138,1.40862,0.29754,0.000418
"118",1974,327.03555,1.42445,0.29823,0.000457
"119",1975,328.20025,1.43975,0.29893,0.000499
"120",1976,329.36527,1.45473,0.29962,0.000544
"121",1977,331.7,1.4694,0.3003,0.000592
"122",1978,333.48,1.48385,0.30096,0.000643
"123",1979,335.26,1.4984,0.30067,0.000695
"124",1980,336.53,1.51357,0.30144,0.000745
"125",1981,337.63,1.52987,0.30118,0.000781
"126",1982,338.12,1.54671,0.30331,0.000828
"127",1983,340.02,1.5634,0.30398,0.000866
"128",1984,341.84,1.57962,0.30465,0.000905
"129",1985,343.26,1.60286,0.3046,0.000951
"130",1986,344.47,1.61784,0.30503,0.000997
"131",1987,346.13,1.63189,0.30567,0.001045
"132",1988,348.3,1.64205,0.30656,0.001096
"133",1989,349.5,1.65575,0.30754,0.001145
"134",1990,350.98,1.66286,0.30868,0.001192
"135",1991,352.69,1.67407,0.30943,0.001229
"136",1992,354.18,1.68701,0.31021,0.001264
"137",1993,354.93,1.68882,0.31043,0.00128
"138",1994,356.36,1.69412,0.31083,0.001296
"139",1995,358.37,1.70056,0.31147,0.001303
"140",1996,359.9,1.70183,0.31225,0.001308
"141",1997,361.26,1.70905,0.31318,0.001309
"142",1998,363.74,1.71641,0.31388,0.001312
"143",1999,365.69,1.72663,0.31479,0.001316
"144",2000,366.98,1.72814,0.31557,0.00132
"145",2001,368.51,1.72686,0.31633,0.001325
"146",2002,370.64,1.72873,0.31706,0.00133
"147",2003,372.9,1.72946,0.31763,0.001335
"148",2004,374.77,1.72878,0.31839,0.001344
"149",2005,376.76,1.72806,0.31893,0.00135
"150",2006,378.68,1.72745,0.3197,0.001358
"151",2007,380.57,1.73303,0.32033,0.001369
"152",2008,382.7,1.74156,0.32144,0.001381
"153",2009,384.26,1.74413,0.32215,0.001391
"154",2010,386.08,1.7507,0.32297,0.001404
"155",2011,387.94,1.75808,0.32393,0.001414
"156",2012,389.95,1.76215,0.32496,0.001428
"157",2013,392.82,1.76547,0.32578,0.001437
"158",2014,394.79,1.77452,0.32666,0.001448
"159",2015,397.27,1.78626,0.32754,0.001459
